message,label
You've won a free iPhone! Click the link!,1
Urgent! Your payment failed. Act immediately!,1
Let’s have a call later today to discuss.,0
The meeting is scheduled for 10 AM tomorrow.,0
Lunch meeting has been confirmed.,0
Your account is compromised. Reset password now!,1
Unlock your prize instantly with this code.,1
Unlock your prize instantly with this code.,1
Lunch meeting has been confirmed.,0
Kindly approve the attached documents.,0
You've been selected for a free cruise.,1
The meeting is scheduled for 10 AM tomorrow.,0
Unlock your prize instantly with this code.,1
Your loan is approved. Call now!,1
Your invoice for last month is attached.,0
Can you share the presentation slides?,0
Please review the attached report for accuracy.,0
You've won a free iPhone! Click the link!,1
Lunch meeting has been confirmed.,0
The meeting is scheduled for 10 AM tomorrow.,0
Work from home and earn $5000 a week!,1
Your account is compromised. Reset password now!,1
Limited offer! Buy now and save 90%.,1
Lunch meeting has been confirmed.,0
Limited offer! Buy now and save 90%.,1
We need to finalize the budget today.,0
Can you share the presentation slides?,0
Limited offer! Buy now and save 90%.,1
You've been selected for a free cruise.,1
Thanks for your feedback on the draft.,0
Limited offer! Buy now and save 90%.,1
Limited offer! Buy now and save 90%.,1
Thanks for your feedback on the draft.,0
We need to finalize the budget today.,0
Claim your reward by clicking this exclusive link.,1
Kindly approve the attached documents.,0
The meeting is scheduled for 10 AM tomorrow.,0
We need to finalize the budget today.,0
Limited offer! Buy now and save 90%.,1
Get rich quick with this one simple trick.,1
Limited offer! Buy now and save 90%.,1
Can you share the presentation slides?,0
You've won a free iPhone! Click the link!,1
Lunch meeting has been confirmed.,0
Thanks for your feedback on the draft.,0
Limited offer! Buy now and save 90%.,1
Kindly approve the attached documents.,0
You've won a free iPhone! Click the link!,1
Unlock your prize instantly with this code.,1
Your account is compromised. Reset password now!,1
Unlock your prize instantly with this code.,1
Please update the project status report.,0
Your loan is approved. Call now!,1
Unlock your prize instantly with this code.,1
You've been selected for a free cruise.,1
You've won a free iPhone! Click the link!,1
Lunch meeting has been confirmed.,0
Claim your reward by clicking this exclusive link.,1
Work from home and earn $5000 a week!,1
Get rich quick with this one simple trick.,1
Claim your reward by clicking this exclusive link.,1
Limited offer! Buy now and save 90%.,1
Your account is compromised. Reset password now!,1
Please review the attached report for accuracy.,0
Urgent! Your payment failed. Act immediately!,1
Lunch meeting has been confirmed.,0
The meeting is scheduled for 10 AM tomorrow.,0
Unlock your prize instantly with this code.,1
Unlock your prize instantly with this code.,1
The meeting is scheduled for 10 AM tomorrow.,0
Your account is compromised. Reset password now!,1
You've won a free iPhone! Click the link!,1
The meeting is scheduled for 10 AM tomorrow.,0
Lunch meeting has been confirmed.,0
The meeting is scheduled for 10 AM tomorrow.,0
You've been selected for a free cruise.,1
Urgent! Your payment failed. Act immediately!,1
Your invoice for last month is attached.,0
Get rich quick with this one simple trick.,1
Lunch meeting has been confirmed.,0
Let’s have a call later today to discuss.,0
Your loan is approved. Call now!,1
The meeting is scheduled for 10 AM tomorrow.,0
Let’s have a call later today to discuss.,0
Urgent! Your payment failed. Act immediately!,1
Your account is compromised. Reset password now!,1
Unlock your prize instantly with this code.,1
You've won a free iPhone! Click the link!,1
Urgent! Your payment failed. Act immediately!,1
Claim your reward by clicking this exclusive link.,1
Your invoice for last month is attached.,0
Work from home and earn $5000 a week!,1
Can you share the presentation slides?,0
We need to finalize the budget today.,0
Kindly approve the attached documents.,0
Can you share the presentation slides?,0
Please update the project status report.,0
You've won a free iPhone! Click the link!,1
Get rich quick with this one simple trick.,1
Let’s have a call later today to discuss.,0
Please update the project status report.,0
The meeting is scheduled for 10 AM tomorrow.,0
We need to finalize the budget today.,0
Work from home and earn $5000 a week!,1
Your account is compromised. Reset password now!,1
We need to finalize the budget today.,0
Please review the attached report for accuracy.,0
Urgent! Your payment failed. Act immediately!,1
Your invoice for last month is attached.,0
Please update the project status report.,0
Urgent! Your payment failed. Act immediately!,1
Unlock your prize instantly with this code.,1
We need to finalize the budget today.,0
You've won a free iPhone! Click the link!,1
Your loan is approved. Call now!,1
Please update the project status report.,0
Can you share the presentation slides?,0
We need to finalize the budget today.,0
Can you share the presentation slides?,0
Please update the project status report.,0
Let’s have a call later today to discuss.,0
Your invoice for last month is attached.,0
You've been selected for a free cruise.,1
Limited offer! Buy now and save 90%.,1
Get rich quick with this one simple trick.,1
Urgent! Your payment failed. Act immediately!,1
Limited offer! Buy now and save 90%.,1
We need to finalize the budget today.,0
Your invoice for last month is attached.,0
Work from home and earn $5000 a week!,1
Limited offer! Buy now and save 90%.,1
Please update the project status report.,0
We need to finalize the budget today.,0
Work from home and earn $5000 a week!,1
We need to finalize the budget today.,0
The meeting is scheduled for 10 AM tomorrow.,0
We need to finalize the budget today.,0
Your loan is approved. Call now!,1
Kindly approve the attached documents.,0
You've won a free iPhone! Click the link!,1
Claim your reward by clicking this exclusive link.,1
Limited offer! Buy now and save 90%.,1
Your loan is approved. Call now!,1
Please update the project status report.,0
Claim your reward by clicking this exclusive link.,1
Get rich quick with this one simple trick.,1
Urgent! Your payment failed. Act immediately!,1
You've won a free iPhone! Click the link!,1
Limited offer! Buy now and save 90%.,1
Let’s have a call later today to discuss.,0
Kindly approve the attached documents.,0
Work from home and earn $5000 a week!,1
Unlock your prize instantly with this code.,1
Can you share the presentation slides?,0
Please update the project status report.,0
Your account is compromised. Reset password now!,1
You've been selected for a free cruise.,1
Let’s have a call later today to discuss.,0
Urgent! Your payment failed. Act immediately!,1
Your account is compromised. Reset password now!,1
Kindly approve the attached documents.,0
Thanks for your feedback on the draft.,0
Work from home and earn $5000 a week!,1
Limited offer! Buy now and save 90%.,1
Your account is compromised. Reset password now!,1
Get rich quick with this one simple trick.,1
